序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4008,601059,信达证券,14.87,-1.0,-0.15,187500.0,279898399.0,1.66,15.09,14.84,15.02,15.02,0.8,2.71,40.84,2.63,48223410000.0,10284092000.0,0.0,0.0,24.23,-16.97
4009,601126,四方股份,16.85,-1.0,-0.17,86050.0,145713917.0,2.12,17.16,16.8,17.09,17.02,0.97,1.05,17.29,3.18,14043396600.0,13797684845.0,0.0,0.0,6.04,24.26
4013,600710,苏美达,8.87,-1.0,-0.09,70959.0,63194706.0,1.45,8.98,8.85,8.95,8.96,0.71,0.54,8.68,1.55,11590867480.0,11590867480.0,0.0,0.0,9.78,31.21
4045,600884,杉杉股份,8.63,-1.03,-0.09,318629.0,275833501.0,1.83,8.76,8.6,8.64,8.72,0.48,1.81,628.32,0.88,19446808930.0,15164950926.0,-0.12,0.12,28.42,-35.69
4059,688019,安集科技,151.9,-1.04,-1.6,17982.0,275644972.0,3.59,156.51,151.0,153.35,153.5,1.01,1.39,37.5,7.72,19627496321.0,19627496321.0,0.2,0.2,42.92,23.88
4071,603530,神马电力,23.5,-1.05,-0.25,42372.0,99755569.0,2.86,23.88,23.2,23.75,23.75,0.86,0.99,35.34,6.05,10158188185.0,10050298439.0,-0.25,-0.17,20.45,14.75
4080,600685,中船防务,24.28,-1.06,-0.26,58996.0,143789887.0,1.34,24.58,24.25,24.45,24.54,0.76,0.72,137.45,1.85,34319934858.0,19944446195.0,0.0,0.08,-1.86,-4.9
4082,600867,通化东宝,8.4,-1.06,-0.09,113445.0,95553909.0,1.53,8.5,8.37,8.47,8.49,0.77,0.57,-188.1,2.59,16646566222.0,16646566222.0,0.12,0.12,7.83,-20.6
4083,600459,贵研铂业,13.99,-1.06,-0.15,65564.0,92053475.0,1.27,14.13,13.95,14.05,14.14,0.71,0.88,17.93,1.55,10642566113.0,10460429576.0,0.07,0.07,15.62,-1.27
4084,002432,九安医疗,42.9,-1.06,-0.46,42625.0,183634271.12,1.31,43.45,42.88,43.43,43.36,0.66,1.01,11.53,1.09,21048913743.0,18026497460.0,-0.05,0.0,1.44,14.8
4097,600587,新华医疗,17.48,-1.08,-0.19,55877.0,97952715.0,1.7,17.7,17.4,17.68,17.67,0.76,0.93,12.89,1.4,10604730024.0,10523772680.0,0.06,0.17,10.63,-10.13
4105,688088,虹软科技,34.77,-1.08,-0.38,54357.0,191378075.0,3.19,35.77,34.65,35.15,35.15,0.74,1.35,118.49,5.36,13948694808.0,13948694808.0,0.06,0.03,47.14,-14.51
4109,688390,固德威,47.27,-1.09,-0.52,43968.0,210158594.0,2.49,48.45,47.26,47.6,47.79,0.69,1.81,994.01,3.97,11467059317.0,11467059317.0,-0.11,-0.08,3.96,-49.03
4114,600933,爱柯迪,15.43,-1.09,-0.17,106438.0,166509749.0,3.46,15.94,15.4,15.55,15.6,0.47,1.09,15.25,1.9,15080731272.0,15080731272.0,0.0,0.06,30.87,-28.73
4124,600761,安徽合力,17.18,-1.09,-0.19,120856.0,209357543.0,2.48,17.56,17.13,17.38,17.37,0.99,1.36,10.42,1.5,15302101634.0,15302101634.0,0.0,0.0,9.57,-2.44
4126,002531,天顺风能,9.03,-1.1,-0.1,340969.0,312795400.75,4.27,9.4,9.01,9.03,9.13,0.97,1.91,41.73,1.79,16225814282.0,16135401100.0,0.11,0.11,36.82,-21.68
4145,002705,新宝股份,14.28,-1.11,-0.16,52697.0,75594012.67,1.66,14.48,14.24,14.44,14.44,0.71,0.65,11.08,1.45,11593586138.0,11540544835.0,0.07,0.07,13.97,0.78
4151,300009,安科生物,8.88,-1.11,-0.1,121673.0,108599280.62,1.45,8.99,8.86,8.94,8.98,0.54,1.0,18.93,3.78,14885959211.0,10795306678.0,0.0,0.0,12.55,-10.93
4152,000818,航锦科技,19.5,-1.12,-0.22,137098.0,268352531.27,2.79,19.95,19.4,19.72,19.72,0.46,2.02,243.77,3.93,13243542000.0,13208664300.0,-0.05,0.21,28.46,-37.76
4165,688161,威高骨科,28.1,-1.13,-0.32,5684.0,16046024.0,2.22,28.63,28.0,28.52,28.42,0.58,0.14,51.31,2.87,11240000000.0,11240000000.0,-0.11,0.14,46.2,-31.9
